bs,seq,nh,nkv,hd,t_measured_ms
2,1024,8,4,128,0.4161815159022808
2,1024,8,8,64,0.3664148971438408
2,1024,8,8,128,0.4132965113967657
2,1024,16,1,64,0.6024523172527552
2,1024,16,1,128,0.7494045421481133
2,1024,16,2,64,0.6103916093707085
2,1024,16,2,128,0.7587925065308809
2,1024,16,4,64,0.6053026299923658
2,1024,16,4,128,0.7688908372074366
2,1024,16,8,64,0.5997275002300739
2,1024,16,8,128,0.7563075050711632
2,1024,32,1,64,1.6815741546452045
2,1024,32,1,128,2.797228517010808
2,1024,32,2,64,1.6807629726827145
2,1024,32,2,128,2.798691624775529
2,1024,32,4,64,1.680742483586073
2,1024,32,4,128,2.7832479681819677
2,1024,32,8,64,1.6817045398056507
2,1024,32,8,128,2.8000338934361935
2,1024,64,1,64,3.217648947611451
2,1024,64,1,128,5.423034308478236
2,1024,64,2,64,3.2181895803660154
2,1024,64,2,128,5.452294135466218
2,1024,64,4,64,3.2195113599300385
2,1024,64,4,128,5.458600353449583
2,1024,64,8,64,3.2179737463593483
2,1024,64,8,128,5.45169273391366
2,2048,2,1,64,0.36434619687497616
2,2048,2,1,128,0.4075507167726755
2,2048,2,2,64,0.37919310852885246
2,2048,2,2,128,0.4086224362254143
2,2048,2,4,64,-1.0
2,2048,2,4,128,-1.0
2,2048,2,8,64,-1.0
2,2048,2,8,128,-1.0
2,2048,4,1,64,0.5520835984498262
2,2048,4,1,128,0.6392153445631266
2,2048,4,2,64,0.5554300732910633
2,2048,4,2,128,0.6373925134539604
2,2048,4,4,64,0.5546992179006338
2,2048,4,4,128,0.6419504061341286
2,2048,4,8,64,-1.0
2,2048,4,8,128,-1.0
2,2048,8,1,64,1.1979520786553621
2,2048,8,1,128,1.3053265865892172
2,2048,8,2,64,1.1734371073544025
2,2048,8,2,128,1.3742491137236357
2,2048,8,4,64,1.1672500986605883
2,2048,8,4,128,1.374890562146902
2,2048,8,8,64,1.1770084965974092
2,2048,8,8,128,1.3621165417134762
2,2048,16,1,64,2.269995864480734
2,2048,16,1,128,2.827354473993182
2,2048,16,2,64,2.268939046189189
2,2048,16,2,128,2.830184530466795
2,2048,16,4,64,2.2706869058310986
2,2048,16,4,128,2.8280301485210657
2,2048,16,8,64,2.269876655191183
2,2048,16,8,128,2.8272345662117004
2,2048,32,1,64,6.300205364823341
2,2048,32,1,128,10.683985194191337
2,2048,32,2,64,6.2986023258417845
2,2048,32,2,128,10.714055970311165
2,2048,32,4,64,6.2993045430630445
2,2048,32,4,128,10.75353822670877
2,2048,32,8,64,6.298027001321316
2,2048,32,8,128,10.73132362216711
2,2048,64,1,64,12.449758127331734
2,2048,64,1,128,21.11880946904421
2,2048,64,2,64,12.452327879145741
2,2048,64,2,128,21.194680826738477
2,2048,64,4,64,12.450654990971088
2,2048,64,4,128,21.235692081972957
2,2048,64,8,64,12.448566500097513
2,2048,64,8,128,21.257933927699924
2,4096,2,1,64,1.0523651726543903
2,4096,2,1,128,1.2632664293050766
2,4096,2,2,64,1.0548306163400412
2,4096,2,2,128,1.2589183170348406
2,4096,2,4,64,-1.0
2,4096,2,4,128,-1.0
2,4096,2,8,64,-1.0
2,4096,2,8,128,-1.0
2,4096,4,1,64,2.0862820092588663
2,4096,4,1,128,2.4028385523706675
2,4096,4,2,64,2.079043770208955
2,4096,4,2,128,2.4022823199629784
2,4096,4,4,64,2.0860559307038784
2,4096,4,4,128,2.4017917457967997
2,4096,4,8,64,-1.0
2,4096,4,8,128,-1.0
2,4096,8,1,64,4.406957421451807
2,4096,8,1,128,5.048542050644755
2,4096,8,2,64,4.4027704279869795
2,4096,8,2,128,5.049584433436394
2,4096,8,4,64,4.401568090543151
2,4096,8,4,128,5.050020525231957
2,4096,8,8,64,4.398878198117018
2,4096,8,8,128,5.050000734627247
2,4096,16,1,64,8.490297477692366
2,4096,16,1,128,10.600478621199727
2,4096,16,2,64,8.463968522846699
2,4096,16,2,128,10.599807603284717
2,4096,16,4,64,8.462776662781835
2,4096,16,4,128,10.605247924104333
2,4096,16,8,64,8.456410141661763
2,4096,16,8,128,10.639250744134188
2,4096,32,1,64,24.747407296672463
2,4096,32,1,128,42.40156151354313
2,4096,32,2,64,24.76509613916278
2,4096,32,2,128,42.514662025496364
2,4096,32,4,64,24.764375062659383
2,4096,32,4,128,42.52971662208438
2,4096,32,8,64,24.76768707856536
2,4096,32,8,128,42.50572249293327
2,4096,64,1,64,49.378337571397424
2,4096,64,1,128,83.61569442786276
2,4096,64,2,64,49.37973176129162
2,4096,64,2,128,83.68582604452968
2,4096,64,4,64,49.386890372261405
2,4096,64,4,128,83.79313698969781
2,4096,64,8,64,49.37423346564174
2,4096,64,8,128,83.82049947977066
2,8192,2,1,64,4.021435044705868
2,8192,2,1,128,4.603995010256767
2,8192,2,2,64,4.014647100120783
2,8192,2,2,128,4.598063882440329
2,8192,2,4,64,-1.0
2,8192,2,4,128,-1.0
2,8192,2,8,64,-1.0
2,8192,2,8,128,-1.0
2,8192,4,1,64,7.8955115750432014
2,8192,4,1,128,9.137850254774094
2,8192,4,2,64,7.894485490396619
2,8192,4,2,128,9.127164958044887
2,8192,4,4,64,7.912063039839268
2,8192,4,4,128,9.118569549173117
2,8192,4,8,64,-1.0
2,8192,4,8,128,-1.0
2,8192,8,1,64,16.821674769744277
2,8192,8,1,128,19.261773442849517
2,8192,8,2,64,16.804077196866274
2,8192,8,2,128,19.26628267392516
