M,N,K,t_measured_ms
16,5268,13940,-1.0
16,5268,15254,-1.0
16,5268,16384,-1.0
16,8192,256,0.01686497125774622
16,8192,512,0.01714599784463644
16,8192,1024,0.018407008610665798
16,8192,2048,0.023394008167088032
16,8192,2885,-1.0
16,8192,4096,0.02467702142894268
16,8192,6227,-1.0
16,8192,8192,0.030566006898880005
16,8192,12632,-1.0
16,8192,13940,-1.0
16,8192,15254,-1.0
16,8192,16384,0.05337002221494913
16,9372,256,-1.0
16,9372,512,-1.0
16,9372,1024,-1.0
16,9372,2048,-1.0
16,9372,2885,-1.0
16,9372,4096,-1.0
16,9372,6227,-1.0
16,9372,8192,-1.0
16,9372,12632,-1.0
16,9372,13940,-1.0
16,9372,15254,-1.0
16,9372,16384,-1.0
16,13896,256,-1.0
16,13896,512,-1.0
16,13896,1024,-1.0
16,13896,2048,-1.0
16,13896,2885,-1.0
16,13896,4096,-1.0
16,13896,6227,-1.0
16,13896,8192,-1.0
16,13896,12632,-1.0
16,13896,13940,-1.0
16,13896,15254,-1.0
16,13896,16384,-1.0
16,14440,256,-1.0
16,14440,512,-1.0
16,14440,1024,-1.0
16,14440,2048,-1.0
16,14440,2885,-1.0
16,14440,4096,-1.0
16,14440,6227,-1.0
16,14440,8192,-1.0
16,14440,12632,-1.0
16,14440,13940,-1.0
16,14440,15254,-1.0
16,14440,16384,-1.0
16,16384,256,0.017184996977448463
16,16384,512,0.01847802195698023
16,16384,1024,0.01998001243919134
16,16384,2048,0.023494940251111984
16,16384,2885,-1.0
16,16384,4096,0.03054493572562933
16,16384,6227,-1.0
16,16384,8192,0.04836206790059805
16,16384,12632,-1.0
16,16384,13940,-1.0
16,16384,15254,-1.0
16,16384,16384,0.20042702089995146
32,256,256,0.016383943147957325
32,256,512,0.017115031369030476
32,256,1024,0.017335987649857998
32,256,2048,0.018637976609170437
32,256,2885,-1.0
32,256,4096,0.021422049030661583
32,256,6227,-1.0
32,256,8192,0.021220999769866467
32,256,12632,-1.0
32,256,13940,-1.0
32,256,15254,-1.0
32,256,16384,0.02211297396570444
32,512,256,0.016474048607051373
32,512,512,0.016794889234006405
32,512,1024,0.01742597669363022
32,512,2048,0.01877802424132824
32,512,2885,-1.0
32,512,4096,0.02140202559530735
32,512,6227,-1.0
32,512,8192,0.021302024833858013
32,512,12632,-1.0
32,512,13940,-1.0
32,512,15254,-1.0
32,512,16384,0.02279400359839201
32,1024,256,0.016424921341240406
32,1024,512,0.016814912669360638
32,1024,1024,0.01729605719447136
32,1024,2048,0.01880794297903776
32,1024,2885,-1.0
32,1024,4096,0.020419945940375328
32,1024,6227,-1.0
32,1024,8192,0.023465021513402462
32,1024,12632,-1.0
32,1024,13940,-1.0
32,1024,15254,-1.0
32,1024,16384,0.02548797056078911
32,2048,256,0.01673505175858736
32,2048,512,0.015033059753477573
32,2048,1024,0.0157130416482687
32,2048,2048,0.018847989849746227
32,2048,2885,-1.0
32,2048,4096,0.020429957658052444
32,2048,6227,-1.0
32,2048,8192,0.02229306846857071
32,2048,12632,-1.0
32,2048,13940,-1.0
32,2048,15254,-1.0
32,2048,16384,0.028221984393894672
32,2127,256,-1.0
32,2127,512,-1.0
32,2127,1024,-1.0
32,2127,2048,-1.0
32,2127,2885,-1.0
32,2127,4096,-1.0
32,2127,6227,-1.0
32,2127,8192,-1.0
32,2127,12632,-1.0
32,2127,13940,-1.0
32,2127,15254,-1.0
32,2127,16384,-1.0
32,4096,256,0.016514095477759838
32,4096,512,0.016815029084682465
32,4096,1024,0.017516082152724266
32,4096,2048,0.018937978893518448
32,4096,2885,-1.0
32,4096,4096,0.02161203883588314
32,4096,6227,-1.0
32,4096,8192,0.026469002477824688
32,4096,12632,-1.0
32,4096,13940,-1.0
32,4096,15254,-1.0
32,4096,16384,0.03605394158512354
32,5268,256,-1.0
32,5268,512,-1.0
32,5268,1024,-1.0
32,5268,2048,-1.0
32,5268,2885,-1.0
32,5268,4096,-1.0
32,5268,6227,-1.0
32,5268,8192,-1.0
32,5268,12632,-1.0
32,5268,13940,-1.0
32,5268,15254,-1.0
32,5268,16384,-1.0
32,8192,256,0.016905018128454685
32,8192,512,0.01765601336956024
32,8192,1024,0.018508057110011578
32,8192,2048,0.02075103111565113
32,8192,2885,-1.0
32,8192,4096,0.025246990844607353
32,8192,6227,-1.0
32,8192,8192,0.03236799966543913
32,8192,12632,-1.0
32,8192,13940,-1.0
32,8192,15254,-1.0
32,8192,16384,0.05678401794284582
32,9372,256,-1.0
32,9372,512,-1.0
32,9372,1024,-1.0
32,9372,2048,-1.0
32,9372,2885,-1.0
32,9372,4096,-1.0
32,9372,6227,-1.0
32,9372,8192,-1.0
32,9372,12632,-1.0
32,9372,13940,-1.0
32,9372,15254,-1.0
32,9372,16384,-1.0
32,13896,256,-1.0
32,13896,512,-1.0
32,13896,1024,-1.0
32,13896,2048,-1.0
32,13896,2885,-1.0
32,13896,4096,-1.0
32,13896,6227,-1.0
32,13896,8192,-1.0
32,13896,12632,-1.0
32,13896,13940,-1.0
32,13896,15254,-1.0
32,13896,16384,-1.0
32,14440,256,-1.0
32,14440,512,-1.0
32,14440,1024,-1.0
32,14440,2048,-1.0
32,14440,2885,-1.0
32,14440,4096,-1.0
32,14440,6227,-1.0
32,14440,8192,-1.0
32,14440,12632,-1.0
32,14440,13940,-1.0
32,14440,15254,-1.0
32,14440,16384,-1.0
32,16384,256,0.01648510806262493
32,16384,512,0.0187380937859416
32,16384,1024,0.020280014723539352
32,16384,2048,0.02368504647165537
32,16384,2885,-1.0
32,16384,4096,0.030815950594842434
32,16384,6227,-1.0
32,16384,8192,0.04921306390315294
32,16384,12632,-1.0
32,16384,13940,-1.0
32,16384,15254,-1.0
32,16384,16384,0.20190898794680834
64,256,256,0.016523990780115128
64,256,512,0.01670501660555601
64,256,1024,0.0174760352820158
64,256,2048,0.018947990611195564
64,256,2885,-1.0
64,256,4096,0.02140202559530735
64,256,6227,-1.0
64,256,8192,0.02140202559530735
64,256,12632,-1.0
64,256,13940,-1.0
64,256,15254,-1.0
64,256,16384,0.02272299025207758
64,512,256,0.01654401421546936
64,512,512,0.016835052520036697
64,512,1024,0.017657061107456684
64,512,2048,0.01880794297903776
64,512,2885,-1.0
64,512,4096,0.021431944333016872
64,512,6227,-1.0
64,512,8192,0.02337503246963024
64,512,12632,-1.0
64,512,13940,-1.0
64,512,15254,-1.0
64,512,16384,0.024206005036830902
64,1024,256,0.015462981536984444
64,1024,512,0.016784993931651115
64,1024,1024,0.016474048607051373
64,1024,2048,0.018876977264881134
64,1024,2885,-1.0
64,1024,4096,0.020381063222885132
64,1024,6227,-1.0
64,1024,8192,0.022533000446856022
64,1024,12632,-1.0
64,1024,13940,-1.0
64,1024,15254,-1.0
64,1024,16384,0.026879017241299152
64,2048,256,0.016704085282981396
64,2048,512,0.0167149119079113
64,2048,1024,0.017496058717370033
64,2048,2048,0.018847989849746227
64,2048,2885,-1.0
64,2048,4096,0.021482002921402454
64,2048,6227,-1.0
64,2048,8192,0.02507702447474003
64,2048,12632,-1.0
64,2048,13940,-1.0
64,2048,15254,-1.0
64,2048,16384,0.03093609120696783
64,2127,256,-1.0
64,2127,512,-1.0
64,2127,1024,-1.0
64,2127,2048,-1.0
64,2127,2885,-1.0
64,2127,4096,-1.0
64,2127,6227,-1.0
64,2127,8192,-1.0
64,2127,12632,-1.0
64,2127,13940,-1.0
64,2127,15254,-1.0
64,2127,16384,-1.0
64,4096,256,0.016815029084682465
64,4096,512,0.017316080629825592
64,4096,1024,0.018347054719924927
64,4096,2048,0.02029002644121647
64,4096,2885,-1.0
64,4096,4096,0.024195993319153786
64,4096,6227,-1.0
64,4096,8192,0.031867995858192444
64,4096,12632,-1.0
64,4096,13940,-1.0
64,4096,15254,-1.0
64,4096,16384,0.04737998824566603
64,5268,256,-1.0
64,5268,512,-1.0
64,5268,1024,-1.0
64,5268,2048,-1.0
64,5268,2885,-1.0
64,5268,4096,-1.0
64,5268,6227,-1.0
64,5268,8192,-1.0
64,5268,12632,-1.0
64,5268,13940,-1.0
64,5268,15254,-1.0
64,5268,16384,-1.0
64,8192,256,0.0175361055880785
64,8192,512,0.0180370407178998
64,8192,1024,0.01939898356795311
64,8192,2048,0.02360600046813488
64,8192,2885,-1.0
64,8192,4096,0.030665076337754726
64,8192,6227,-1.0
64,8192,8192,0.038057100027799606
64,8192,12632,-1.0
64,8192,13940,-1.0
64,8192,15254,-1.0
64,8192,16384,0.06401503924280405
64,9372,256,-1.0
64,9372,512,-1.0
64,9372,1024,-1.0
64,9372,2048,-1.0
64,9372,2885,-1.0
64,9372,4096,-1.0
64,9372,6227,-1.0
64,9372,8192,-1.0
64,9372,12632,-1.0
64,9372,13940,-1.0
64,9372,15254,-1.0
64,9372,16384,-1.0
64,13896,256,-1.0
64,13896,512,-1.0
64,13896,1024,-1.0
64,13896,2048,-1.0
64,13896,2885,-1.0
64,13896,4096,-1.0
64,13896,6227,-1.0
64,13896,8192,-1.0
64,13896,12632,-1.0
64,13896,13940,-1.0
64,13896,15254,-1.0
64,13896,16384,-1.0
64,14440,256,-1.0
64,14440,512,-1.0
64,14440,1024,-1.0
64,14440,2048,-1.0
64,14440,2885,-1.0
64,14440,4096,-1.0
64,14440,6227,-1.0
64,14440,8192,-1.0
64,14440,12632,-1.0
64,14440,13940,-1.0
64,14440,15254,-1.0
64,14440,16384,-1.0
64,16384,256,0.018196995370090008
64,16384,512,0.0190479913726449
64,16384,1024,0.021022045984864235
64,16384,2048,0.025938963517546654
64,16384,2885,-1.0
64,16384,4096,0.03269908484071493
64,16384,6227,-1.0
64,16384,8192,0.05857704672962427
64,16384,12632,-1.0
64,16384,13940,-1.0
64,16384,15254,-1.0
64,16384,16384,0.20033796317875385
128,256,256,0.016413978300988674
128,256,512,0.016805017367005348
128,256,1024,0.017505954019725323
128,256,2048,0.018878956325352192
128,256,2885,-1.0
128,256,4096,0.021392013877630234
128,256,6227,-1.0
128,256,8192,0.023455009795725346
128,256,12632,-1.0
128,256,13940,-1.0
128,256,15254,-1.0
128,256,16384,0.024016015231609344
128,512,256,0.016554957255721092
128,512,512,0.016816076822578907
128,512,1024,0.017555896192789078
128,512,2048,0.01889804843813181
128,512,2885,-1.0
128,512,4096,0.020431005395948887
128,512,6227,-1.0
128,512,8192,0.022243009880185127
128,512,12632,-1.0
128,512,13940,-1.0
128,512,15254,-1.0
128,512,16384,0.02701999619603157
128,1024,256,0.01668499317020178
128,1024,512,0.016824924387037754
128,1024,1024,0.017435988411307335
128,1024,2048,0.01901807263493538
128,1024,2885,-1.0
128,1024,4096,0.021641957573592663
128,1024,6227,-1.0
128,1024,8192,0.025828019715845585
128,1024,12632,-1.0
128,1024,13940,-1.0
128,1024,15254,-1.0
128,1024,16384,0.03103597555309534
128,2048,256,0.014842022210359573
128,2048,512,0.01540197990834713
128,2048,1024,0.01656496897339821
128,2048,2048,0.01858698669821024
128,2048,2885,-1.0
128,2048,4096,0.024075969122350216
128,2048,6227,-1.0
128,2048,8192,0.032207928597927094
128,2048,12632,-1.0
128,2048,13940,-1.0
128,2048,15254,-1.0
128,2048,16384,0.04595797508955002
128,2127,256,-1.0
128,2127,512,-1.0
128,2127,1024,-1.0
128,2127,2048,-1.0
128,2127,2885,-1.0
128,2127,4096,-1.0
128,2127,6227,-1.0
128,2127,8192,-1.0
128,2127,12632,-1.0
128,2127,13940,-1.0
128,2127,15254,-1.0
128,2127,16384,-1.0
128,4096,256,0.017035985365509987
128,4096,512,0.017696991562843323
128,4096,1024,0.019217957742512226
128,4096,2048,0.02180307637900114
128,4096,2885,-1.0
128,4096,4096,0.0306649599224329
128,4096,6227,-1.0
128,4096,8192,0.037266057915985584
128,4096,12632,-1.0
128,4096,13940,-1.0
128,4096,15254,-1.0
128,4096,16384,0.05797599442303181
128,5268,256,-1.0
128,5268,512,-1.0
128,5268,1024,-1.0
128,5268,2048,-1.0
128,5268,2885,-1.0
128,5268,4096,-1.0
128,5268,6227,-1.0
128,5268,8192,-1.0
128,5268,12632,-1.0
128,5268,13940,-1.0
128,5268,15254,-1.0
128,5268,16384,-1.0
128,8192,256,0.017965910956263542
128,8192,512,0.018768012523651123
128,8192,1024,0.020900974050164223
128,8192,2048,0.025006942451000214
128,8192,2885,-1.0
128,8192,4096,0.033149030059576035
